uai,rentree_scolaire,region_academique,academie,departement,commune,denomination_principale,secteur,nb_eleves,rep,ips
0750662M,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,1043,,142.3
0753809H,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,579,,151.1
0753849B,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,274,,147.1
0753850C,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,375,,142.8
0753851D,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,406,,153.2
0753852E,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,307,,147.8
0754030Y,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT PRIVE,PRIVE,413,,120.0
0754860A,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,61,,137.4
0750663N,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,564,,130.4
0750664P,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1074,,130.5
0753873C,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,808,,153.0
0750667T,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,530,,136.1
0750668U,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1007,,121.9
0750670W,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,599,,123.8
0750671X,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,413,,96.7
0753825A,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE PRIVE POUR HANDICAPES,PRIVE,48,,134.7
0750673Z,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL,PUBLIC,697,,109.8
0750674A,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE TECHNOLOGIQUE,PUBLIC,179,,87.7
0753883N,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,313,,151.7
0753885R,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,659,,131.2
0753887T,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,529,,136.7
0750558Z,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LPO LYCEE DES METIERS,PUBLIC,21,,93.9
0750675B,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,969,,112.4
0750676C,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,495,,109.8
0753890W,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GEN.ET TECHNOL. PRIVE,PRIVE,557,,138.7
0754089M,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POUR HANDICAPES PRIVE,PRIVE,12,,102.8
0754479L,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,172,,115.3
0750677D,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,434,,91.3
0750679F,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,681,,105.6
0750680G,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,725,,120.1
0750681H,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE POLYVALENT,PUBLIC,191,,138.5
0753897D,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,951,,142.9
0753898E,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,507,,112.5
0753935V,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL PRIVE,PRIVE,275,,130.2
0750330B,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,103,,121.6
0750682J,2021-01-01,ILE-DE-FRANCE,PARIS,PARIS,PARIS,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,753,,129.1
