uai,rentree_scolaire,academie,departement,commune,denomination_principale,secteur,nb_eleves,ips_voie_gt,ips_voie_pro,ips_ensemble_gt_pro,taux_de_reussite,va_taux_de_reussite,taux_de_mentions,va_du_taux_de_mentions,effectif_de_2de,effectif_de_1re,effectif_de_ter,taux_dacces_2nde_bac,va_taux_dacces_2nde_bac,taux_dacces_1re_bac,va_du_taux_dacces_1re_bac,taux_dacces_term_bac,va_du_taux_dacces_term_bac,part_mention_ab,part_mention_b,part_mention_tb_sf,part_mention_tb_af
0670002N,2021-01-01,STRASBOURG,BAS-RHIN,BARR,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,467,119.5,,119.5,98.0,2.0,72.0,7.0,147.0,170.0,131.0,93.0,4.0,97.0,2.0,98.0,1.0,33.59,,,
0670005S,2021-01-01,STRASBOURG,BAS-RHIN,BISCHWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,710,103.8,,103.8,95.0,1.0,65.0,8.0,251.0,209.0,227.0,76.0,-11.0,90.0,-3.0,94.0,-2.0,31.28,18.06,9.69,9.69
0670071N,2021-01-01,STRASBOURG,BAS-RHIN,SELESTAT,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,979,122.3,,122.3,98.0,1.0,76.0,5.0,312.0,322.0,333.0,96.0,6.0,97.0,1.0,99.0,1.0,29.73,27.03,18.32,18.32
0670081Z,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL,PUBLIC,953,127.0,,127.0,97.0,0.0,81.0,5.0,350.0,324.0,314.0,89.0,5.0,94.0,0.0,97.0,-1.0,,,,
0670085D,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LPO LYCEE DES METIERS,PUBLIC,489,108.0,79.6,94.5,86.0,-6.0,50.0,0.0,184.0,219.0,147.0,79.0,-3.0,84.0,-8.0,92.0,-3.0,28.57,19.05,8.16,8.16
0670087F,2021-01-01,STRASBOURG,BAS-RHIN,ILLKIRCH-GRAFFENSTADEN,LPO LYCEE DES METIERS,PUBLIC,249,114.5,100.1,106.8,86.0,-7.0,54.0,0.0,60.0,98.0,121.0,86.0,4.0,86.0,-4.0,89.0,-5.0,,,,
0671609K,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,651,133.8,,133.8,100.0,1.0,85.0,5.0,246.0,227.0,205.0,93.0,2.0,98.0,2.0,100.0,1.0,,,,
0671611M,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYCEE GENERAL PRIVE,PRIVE,370,124.3,,124.3,100.0,2.0,85.0,8.0,129.0,119.0,109.0,88.0,-2.0,94.0,-2.0,98.0,-1.0,,,,
0671618V,2021-01-01,STRASBOURG,BAS-RHIN,WALBOURG,LYCEE GENERAL PRIVE,PRIVE,234,123.9,,123.9,97.0,0.0,78.0,9.0,98.0,62.0,64.0,64.0,-23.0,79.0,-16.0,92.0,-6.0,,,,
0671639T,2021-01-01,STRASBOURG,BAS-RHIN,STRASBOURG,LYC GEN TECH PRIVE DES METIERS,PRIVE,490,120.0,,120.0,98.0,3.0,52.0,-2.0,169.0,214.0,158.0,82.0,-4.0,91.0,-2.0,99.0,3.0,41.77,16.46,1.27,1.27
0672614C,2021-01-01,STRASBOURG,BAS-RHIN,SARRE-UNION,LYCEE POLYVALENT,PUBLIC,302,107.2,83.2,99.3,100.0,3.0,70.0,4.0,112.0,91.0,91.0,92.0,4.0,98.0,3.0,100.0,2.0,,,,
0672615D,2021-01-01,STRASBOURG,BAS-RHIN,MOLSHEIM,LYCEE POLYVALENT,PUBLIC,510,118.0,90.1,109.6,96.0,0.0,61.0,0.0,189.0,155.0,151.0,90.0,2.0,94.0,-1.0,97.0,-1.0,35.76,21.19,,
0680015X,2021-01-01,STRASBOURG,HAUT-RHIN,GUEBWILLER,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,848,117.3,,117.3,98.0,2.0,72.0,6.0,234.0,312.0,232.0,90.0,1.0,94.0,-1.0,98.0,0.0,40.95,28.45,18.10,18.10
0680032R,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1139,103.0,,103.0,86.0,-5.0,46.0,-3.0,357.0,404.0,432.0,79.0,-4.0,89.0,-1.0,92.0,-2.0,20.60,12.96,5.79,5.79
0680034T,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1033,98.8,98.2,98.8,89.0,-2.0,55.0,6.0,340.0,313.0,374.0,84.0,1.0,93.0,1.0,96.0,1.0,25.13,13.90,5.88,5.88
0680151V,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,INSTITUTION,PRIVE,699,127.0,,127.0,100.0,2.0,87.0,11.0,222.0,228.0,231.0,84.0,-6.0,98.0,2.0,99.0,0.0,26.41,26.84,18.61,18.61
0681768C,2021-01-01,STRASBOURG,HAUT-RHIN,MULHOUSE,LYCEE POLYVALENT,PUBLIC,877,90.5,85.3,90.1,89.0,2.0,45.0,5.0,332.0,287.0,287.0,88.0,6.0,92.0,3.0,94.0,2.0,22.65,13.59,5.92,5.92
0880021V,2021-01-01,NANCY-METZ,VOSGES,EPINAL,LPO LYCEE DES METIERS,PUBLIC,586,114.5,85.7,107.4,96.0,0.0,60.0,-3.0,199.0,212.0,181.0,91.0,4.0,95.0,1.0,99.0,1.0,22.10,19.34,11.05,11.05
